Country,Year,GDP_Growth,Inflation,Unemployment_Rate,Oil_Revenue_Percent,Trade_Balance_GDP,Government_Spending_GDP,Population_Growth,FDI_Percent_GDP
Morocco,2019,2.6,0.2,9.2,1.0,-3.6,21.6,1.0,1.6
Morocco,2020,-7.2,0.6,11.9,0.8,-6.4,24.8,1.0,1.2
Morocco,2021,7.9,1.4,11.0,0.9,-5.8,22.4,1.0,1.8
Morocco,2022,1.3,6.6,10.4,1.0,-8.4,23.6,1.0,2.2
Morocco,2023,3.4,6.1,9.6,1.1,-5.8,22.8,0.9,2.6
Tunisia,2010,3.5,4.4,13.0,4.2,-8.6,18.4,1.1,3.2
Tunisia,2011,-2.0,3.5,18.3,3.8,-10.2,20.6,1.1,0.8
Tunisia,2012,4.0,5.1,16.7,3.4,-12.4,22.4,1.0,2.4
Tunisia,2013,2.3,5.8,15.3,3.2,-14.6,24.2,1.0,1.6
Tunisia,2014,2.3,4.9,15.2,2.8,-15.8,25.4,1.0,2.2
Tunisia,2015,1.2,4.9,15.4,2.4,-12.6,25.8,1.0,1.2
Tunisia,2016,1.1,3.7,15.5,2.2,-10.4,26.2,1.0,1.6
Tunisia,2017,2.0,5.3,15.5,2.0,-10.8,25.6,1.0,2.4
Tunisia,2018,2.7,7.3,15.5,1.8,-14.2,26.4,1.0,2.6
Tunisia,2019,1.0,6.7,14.9,1.6,-12.8,26.8,1.0,1.8
Tunisia,2020,-8.6,5.7,17.4,1.4,-10.4,30.2,1.0,1.4
Tunisia,2021,3.4,6.2,16.8,1.2,-8.6,28.4,1.0,1.6
Tunisia,2022,2.4,8.3,15.2,1.4,-10.2,27.6,0.9,2.0
Tunisia,2023,0.4,9.3,15.8,1.2,-9.8,28.4,0.9,1.8
Egypt,2010,5.1,11.7,9.0,5.8,-4.2,13.2,1.9,2.8
Egypt,2011,1.8,10.1,12.0,5.4,-6.8,14.6,1.9,0.4
Egypt,2012,2.2,7.1,12.7,5.2,-8.4,15.4,1.9,1.4
Egypt,2013,2.1,9.5,13.3,5.0,-10.2,17.2,1.9,0.6
Egypt,2014,2.9,10.1,13.4,4.8,-8.6,16.8,2.0,4.6
Egypt,2015,4.4,11.0,12.8,4.4,-7.4,15.6,2.0,6.8
Egypt,2016,4.3,13.8,12.5,4.2,-14.6,18.4,2.0,8.4
Egypt,2017,4.2,23.5,11.8,4.0,-6.8,16.2,2.0,7.4
Egypt,2018,5.3,20.9,10.0,3.8,-4.4,14.8,2.0,9.2
Egypt,2019,5.6,9.2,7.8,3.6,-2.6,13.8,2.0,7.6
Egypt,2020,3.6,5.7,9.6,3.2,-6.2,16.4,1.9,5.8
Egypt,2021,3.3,4.5,7.4,3.0,-4.8,14.6,1.9,5.2
Egypt,2022,6.6,8.5,7.3,2.8,-6.4,13.2,1.9,8.8
Egypt,2023,3.8,24.4,7.1,2.6,-8.6,15.4,1.8,4.6
Libya,2010,5.0,2.5,19.0,58.4,42.2,42.6,1.6,2.6
Libya,2011,-62.1,15.5,20.4,34.2,-8.4,62.4,1.5,0.2
Libya,2012,104.5,6.1,18.6,52.8,36.6,48.8,1.5,1.8
Libya,2013,-13.6,2.6,19.2,44.6,16.2,52.4,1.4,1.2
Libya,2014,-24.0,2.4,19.8,36.4,-2.8,62.8,1.4,0.6
Libya,2015,-10.3,9.8,21.2,22.6,-22.4,78.2,1.4,0.4
Libya,2016,-3.2,25.9,21.0,18.4,-18.6,72.4,1.4,0.8
Libya,2017,64.2,28.5,19.6,32.8,12.4,58.6,1.4,1.6
Libya,2018,17.9,6.0,18.4,44.2,28.6,46.2,1.4,2.4
Libya,2019,-11.2,4.6,18.8,40.6,18.2,52.8,1.4,1.6
Libya,2020,-29.5,1.8,20.1,22.4,-12.6,72.4,1.4,0.2
Libya,2021,31.4,2.9,19.2,34.8,14.8,56.4,1.4,1.8
Libya,2022,16.8,4.5,18.6,46.2,28.4,44.6,1.3,2.2
Libya,2023,9.6,2.8,18.2,42.6,22.8,46.8,1.3,2.6
Nigeria,2010,10.0,13.7,21.1,34.2,8.6,8.8,2.6,2.2
Nigeria,2011,4.9,10.8,23.9,36.4,6.4,9.2,2.6,2.8
Nigeria,2012,4.3,12.2,24.0,34.8,4.2,8.6,2.6,1.8
Nigeria,2013,5.4,8.5,24.3,32.6,2.4,8.4,2.6,1.4
Nigeria,2014,6.3,8.1,26.0,30.4,0.8,7.8,2.6,1.2
Nigeria,2015,2.7,9.0,26.8,22.6,-4.2,9.4,2.6,0.8
Nigeria,2016,-1.6,15.7,28.4,18.4,-8.6,10.2,2.6,0.6
Nigeria,2017,0.8,16.5,28.6,22.2,-4.4,9.6,2.6,1.2
Nigeria,2018,1.9,12.1,28.2,24.6,-2.8,8.8,2.6,1.6
Nigeria,2019,2.2,11.4,27.8,22.4,-4.6,9.2,2.6,1.4
Nigeria,2020,-1.9,13.2,32.5,16.8,-12.4,12.6,2.6,0.4
Nigeria,2021,3.4,17.0,33.3,20.4,-8.6,11.2,2.5,0.8
Nigeria,2022,3.3,18.8,33.8,24.2,-6.4,10.4,2.5,1.4
Nigeria,2023,2.9,24.7,31.2,22.6,-8.2,11.6,2.5,1.0
South Africa,2010,3.0,4.3,24.7,2.8,-2.4,21.6,1.4,1.8
South Africa,2011,3.3,5.0,24.7,2.6,-3.6,22.4,1.4,2.2
South Africa,2012,2.2,5.7,24.9,2.4,-4.8,23.2,1.4,1.6
South Africa,2013,2.5,5.8,24.7,2.2,-5.4,23.8,1.4,1.8
South Africa,2014,1.9,6.1,25.0,2.0,-5.8,24.2,1.4,0.8
South Africa,2015,1.3,4.6,25.4,1.8,-3.6,22.8,1.4,1.6
South Africa,2016,0.7,6.3,26.7,1.6,-2.4,22.4,1.3,2.2
South Africa,2017,1.4,5.3,27.1,1.4,-2.8,21.6,1.3,3.8
South Africa,2018,0.8,4.6,27.3,1.2,-3.4,22.2,1.3,0.8
South Africa,2019,0.2,4.1,28.7,1.0,-2.8,22.6,1.3,0.6
South Africa,2020,-6.3,3.3,30.4,0.8,-4.2,26.8,1.2,1.8
South Africa,2021,4.9,4.5,32.6,0.6,-2.8,23.4,1.2,3.8
South Africa,2022,1.9,6.9,32.9,0.8,-3.6,22.6,1.2,1.4
South Africa,2023,0.6,6.0,32.1,0.6,-4.2,23.4,1.1,1.6
